nsd_Id,v_coco_id
27488,194663
52463,176335
8625,17489
42586,399605
52190,175273
56231,452985
55895,189684
62732,215982
171,541123
6418,10678
7031,12552
49201,163436
27263,580972
16632,565570
71233,511127
60045,205671
17196,94558
19095,573065
29509,348734
2842,581357
34003,103722
13257,442084
7524,14103
17602,306426
12568,291251
24401,273316
32831,99260
52214,175359
25958,72910
42778,138131
65986,490647
42516,399284
53892,181837
63659,481807
43858,404464
16581,565438
16812,41875
23991,327532
37590,117987
70945,510033
44878,408537
11933,354070
70450,245999
62961,479035
36984,377816
26164,335824
37251,378827
8774,280022
57543,338501
58997,463778
32397,359707
21611,580847
3368,525546
65822,227928
36225,562408
45093,548822
2622,105264
65826,490087
28363,82143
26651,75581
14714,35352
48021,158737
3172,625
32978,99798
24070,327843
67408,234032
45062,409221
1657,407650
32219,96877
35564,109872
4271,528230
12244,290282
9134,543220
4651,5124
168,262587
28596,345149
56736,454957
53738,181278
11058,286870
58382,461334
6640,11349
72055,514468
28752,345751
50196,429643
1030,183127
65409,488505
17732,306833
60362,206893
60334,471373
31546,94194
14773,297676
25289,317573
43728,403947
4342,528471
65956,228413
18252,570581
37899,381377
31017,92190
67921,236068
64094,221425
21809,57169
50939,432547
54115,444809
26099,335587
71181,510871
41858,134760
56868,193373
37718,380636
423,558213
6675,535750
56943,455772
27157,339676
4679,529522
40697,392222
71938,251856
36426,281040
72416,515937
16001,301541
39859,389048
72173,252833
44973,408923
68469,238197
15901,301209
2568,331604
47091,417216
25572,405121
58848,463217
38502,121570
46925,416598
3394,1330
2083,409198
11889,551438
30019,350721
3462,1548
49228,163540
52492,438617
64128,483705
58645,200284
20904,578525
48848,162021
20151,270809
16640,41305
67033,232592
912,437331
33360,541174
13770,556883
63626,481667
44795,408190
5348,7260
2986,262229
57100,456433
25849,72536
67211,233271
33639,364522
9324,19444
21321,317788
40665,129982
72475,254011
17795,569196
31306,452457
58941,295716
46415,414609
19117,310998
58523,461883
47617,419333
29237,85455
36391,62566
55660,450845
18274,308496
54684,447130
63230,480116
32181,96660
26977,76784
44500,144863
68486,500405
30582,90628
52495,176477
61678,474024
7724,276886
11803,551172
62878,478723
68906,83682
67638,497067
50924,432494
20528,53145
56223,452964
1504,356505
25040,69411
22161,58497
16501,50511
54737,447330
547,396200
1872,390246
19140,573214
38611,384092
3050,262414
33230,129860
31700,146865
34662,368459
19626,50414
29123,85028
52801,439868
43876,404533
52877,177978
50962,432657
54129,564743
22465,534224
11602,288491
34960,107564
47491,156704
44593,145208
20331,314667
72337,479149
18417,571029
65253,299768
6268,220152
21527,318444
20509,53101
60031,467774
6549,368
12355,290602
63568,481442
3692,2278
53621,442961
17404,43625
13100,554854
43951,404823
23031,61805
66938,232245
51984,174504
34017,60989
3443,525762
40924,130972
8890,280370
47565,550453
21136,54995
50545,168869
26875,338552
14629,297204
58040,460039
14461,558863
16207,564341
59453,465556
17197,305206
62362,214589
40166,390161
56620,454495
2616,498807
56583,111148
66449,230315
46890,416482
18365,570857
1167,98853
18137,308101
54126,182715
47294,419212
5540,532209
13243,555311
62943,123514
12444,28759
67185,475765
40214,390315
59424,465422
55289,180818
37411,150623
16609,565518
31783,357228
5505,7789
13906,295114
853,551215
59889,467246
5252,6920
50566,431085
65464,226571
33408,101491
11626,550707
45207,147674
1752,463690
14395,558661
33498,363969
29880,350171
44688,373785
51419,434510
24941,69029
62652,477861
53666,180984
31884,15919
14994,298362
2387,350679
46809,416159
45863,412399
9916,545550
33776,102935
32074,96250
13928,295194
8411,16879
10851,548420
60503,469634
37987,381667
11321,484849
55615,450700
50171,43829
7798,277080
51215,433637
70737,247057
52930,178184
7991,15546
5770,88817
601,417911
18527,309285
47341,156152
30550,90519
66774,235479
66482,230432
55986,452115
68859,501926
42871,138488
19395,49731
25582,333629
46818,200439
45051,409199
66024,228676
50608,169086
23117,324252
27976,342770
53552,180539
68219,237282
14996,36222
6714,535871
7149,12916
32175,470097
29798,87705
32456,97795
51071,170950
57307,457274
61379,472854
39294,386872
68724,239235
45127,286698
28861,346178
65355,226176
1785,455555
7748,539099
55406,449914
9585,20251
42771,138114
57046,119939
52235,175439
69503,242133
59246,339611
61683,474054
70312,245414
13978,557459
40867,371322
68970,240158
16903,566448
10007,283678
52848,440037
46630,331386
49859,428263
57051,194067
51456,172513
48531,160735
66212,491581
38280,382801
36331,227706
62311,476515
3728,2369
58318,198923
6344,534734
68625,500944
19699,50648
19502,532627
72944,255708
58155,460441
49012,162703
20516,577403
56768,192955
60164,340197
20492,315195
64939,168508
33785,365132
24633,330053
41651,133933
57218,194754
57479,195768
30567,352729
41836,396791
14576,559171
19732,312878
34568,105974
36953,115584
66323,229870
12631,553561
66994,494608
49499,164635
66396,230133
55673,450878
23917,447767
56493,453968
70310,245411
281,561958
62545,215291
56622,454502
50896,170267
23204,54452
8466,279197
21467,580381
4077,3378
31267,355297
16269,564515
44598,145215
9635,282553
65136,487482
7397,538005
25226,332352
48220,159475
58083,460199
69616,346274
41202,132137
39629,388153
65900,490361
41965,135155
33518,101933
25579,333615
35486,105640
66235,491681
61607,473733
9325,19446
15741,562850
72835,517485
4095,3432
18748,572081
64396,222555
52823,177807
144,532855
6566,273279
41317,394790
29022,346795
37583,380100
7537,14151
50745,169648
33961,365701
46796,153971
23396,63231
58061,460113
26925,76584
5069,268541
47367,418384
16712,41574
