v_coco_id,coco_Id
False,412922
False,195798
False,396768
False,242926
False,454195
False,64948
False,127035
False,171613
False,381208
False,551575
False,31867
False,54262
False,318157
False,391460
False,366873
False,580649
False,501841
False,506220
False,18833
False,14282
False,486506
False,224802
False,182706
False,228832
False,254082
False,121559
False,576667
False,89616
False,161062
False,460533
False,333323
False,357238
False,369637
False,280220
False,72733
False,408965
False,517049
False,95757
False,527098
False,356445
False,34143
False,26356
False,220045
False,24294
False,98480
False,544968
False,265108
False,44494
False,44820
False,42919
False,183379
False,570516
True,574343
False,435326
False,440792
False,268114
False,200764
False,94651
False,581921
False,420410
False,177163
False,386623
False,171472
False,227683
False,80480
False,379561
False,333920
False,557313
False,424472
False,116356
False,264124
False,208898
False,566060
False,425472
False,64760
False,259382
False,6287
False,383807
False,101145
False,522574
False,208250
False,26263
False,274494
False,53404
False,474984
False,533955
True,466838
False,194555
False,462565
False,455275
False,230851
True,571950
True,515854
False,463591
False,315243
False,254632
False,112394
False,205940
False,414849
False,134322
False,581601
False,434602
False,483771
False,31324
False,178131
False,217312
True,551631
False,41094
False,374430
True,550237
False,213113
False,93519
False,478736
False,376426
False,471589
False,206927
False,10710
False,568417
False,285192
False,340941
False,507642
False,275161
False,520471
True,328238
False,333652
False,278573
False,114077
False,29647
False,524559
False,404592
False,426948
False,336492
True,107430
False,425536
False,62357
False,203680
False,404701
False,173561
False,193110
False,215763
False,438348
False,307352
False,43251
False,41831
False,211294
False,194054
False,575432
False,157219
False,311469
False,161856
False,302982
False,249856
False,109869
False,444415
False,481313
False,114420
False,153655
False,538822
False,226300
False,125109
False,473468
False,105642
False,156624
False,89908
False,214252
True,544237
False,335063
False,244088
False,462026
False,167564
False,242096
False,542817
False,489276
False,279024
False,20171
False,443519
False,82790
False,133275
False,199888
False,476339
False,317873
False,136836
False,503249
False,421534
False,84735
False,168803
False,566536
False,494771
False,111004
False,177280
False,264537
False,246609
True,281008
False,136668
False,75309
False,166805
False,163192
False,83815
False,290896
False,465467
False,63270
False,210090
False,152663
False,498241
False,245426
True,548288
False,570503
False,36204
False,135965
False,270278
False,542930
False,74533
False,413312
False,284176
False,297440
False,286787
False,246089
False,155388
False,355677
False,133648
False,166482
False,580813
False,476481
False,498392
False,531392
False,37779
False,44612
False,248457
False,424842
False,87503
False,332574
False,501263
False,429803
False,548905
False,540988
False,93923
True,553100
False,287219
False,185773
False,273250
False,40910
False,340386
False,532358
False,343559
False,81461
False,468632
False,577398
True,220457
False,562870
False,469197
False,41606
False,474785
False,470588
False,251292
False,453313
False,345229
False,388569
False,27701
False,238757
False,74126
False,31536
False,430380
False,317863
False,520301
False,467062
False,21740
False,416544
False,32688
False,391754
False,13473
False,126638
False,120259
False,158993
False,528761
False,398442
False,297802
False,270650
False,367121
False,513809
False,456251
False,74743
False,397890
False,138164
False,306191
False,397903
False,128029
False,383414
False,537812
False,182379
False,383777
False,359268
False,299563
False,245729
False,505539
False,193442
False,1591
False,340208
False,70827
False,339489
False,573330
False,184813
False,122266
False,149221
False,577975
False,37830
False,190211
False,560571
False,7393
False,44937
False,557174
False,283426
False,217216
False,8483
False,337479
False,138119
False,551285
False,422367
False,271949
False,327186
False,197792
False,545447
False,468825
False,476282
False,105027
False,61735
False,138200
False,159525
False,276413
False,255904
False,137203
False,62477
False,300207
False,340316
False,3711
False,361567
False,293393
False,211919
False,205352
False,267699
False,554301
False,177404
False,424485
False,195606
False,361895
False,249325
False,280254
False,462955
False,500077
False,24939
False,125091
False,196483
False,569878
False,304758
False,137378
False,342011
False,49646
False,109515
False,573337
True,8771
False,490851
False,324927
False,482989
False,514563
False,544522
False,333830
False,61316
False,417726
False,269634
False,373970
False,398580
False,138347
False,545924
False,5502
False,100855
False,371997
False,462576
False,427165
False,142276
False,359840
False,442786
False,251084
False,489585
False,445192
False,275900
False,282252
False,313888
False,84643
False,356921
False,399661
False,275429
False,548218
False,496554
False,93965
False,203545
False,571678
False,466942
False,49683
False,488500
False,51642
False,460408
False,84701
False,69350
False,27298
False,565165
False,447146
False,37958
False,450747
False,218965
False,502982
False,357696
False,115378
False,122776
False,95749
False,323819
False,162007
False,492627
False,16546
False,105975
False,148730
True,511127
False,279415
False,270918
False,228464
False,189015
False,370765
False,568647
False,400763
False,479075
False,550421
False,361244
False,55419
False,57300
False,303247
False,375426
False,236772
False,467325
False,528269
False,65948
False,330410
False,41200
False,483677
False,232287
False,422115
False,476913
False,186544
False,550009
False,67768
False,145191
False,527961
False,506890
False,467285
False,470462
False,217068
False,264244
True,80521
False,192247
False,289899
True,247692
False,409211
False,496151
False,575219
True,101989
False,129980
False,210416
False,574218
False,34193
False,166244
False,110011
False,330292
False,203616
False,506439
False,559816
False,319908
False,138315
False,561121
False,233383
False,444203
False,85173
False,268728
False,526622
True,80180
False,46260
True,274209
False,350940
False,335039
False,528341
False,466772
False,275532
False,564705
False,146202
False,515289
False,128172
False,123125
False,452341
True,552186
False,265052
False,387736
False,366802
False,403378
False,400596
True,515785
False,445135
False,339227
False,480818
False,24045
False,15070
False,528960
False,26086
False,475881
True,500167
False,57903
False,170529
False,435841
False,442542
False,450761
False,355236
False,581008
False,446931
False,188454
False,424102
False,79274
False,557886
False,417234
False,119805
False,570392
False,445408
False,366240
False,432160
False,375811
False,517005
False,132386
False,389472
False,194620
False,74390
False,306395
False,288316
False,285499
False,244235
False,385326
False,160290
False,509497
False,187262
False,532983
False,144760
False,549301
False,131400
False,530875
False,94600
False,161546
False,469934
False,66510
False,447714
