nsd_Id,v_coco_id
19537,50161
71218,434700
20760,578119
11410,222751
3678,264382
8579,17364
27946,80517
16931,566518
19000,310673
64125,483692
63107,479621
1204,404805
30407,90011
1968,13659
71233,511127
18351,570824
18677,309744
61905,212817
72664,516840
37478,117508
37295,335594
47183,155466
41938,397205
51649,435358
54645,446971
68132,499102
57050,194063
66565,492943
17039,50782
11251,549556
6190,534210
13945,33105
19443,52003
41049,131494
63190,479939
17377,43555
51190,171384
53892,181837
1658,438862
42542,399415
39996,545525
70335,245496
69913,243825
16081,563927
60083,467979
326,23359
16190,564289
54084,182556
69427,241897
14184,295916
50164,167390
32872,99416
43660,403680
8511,541474
55609,450687
54328,183414
11933,354070
6046,533770
3197,693
62961,479035
26164,335824
69980,244095
57543,338501
17439,43742
9265,19292
55308,187371
10162,546295
65822,227928
48426,160291
60054,467843
61722,212077
60485,469559
15027,36322
3172,625
38756,282564
8374,541017
6195,9941
2726,220584
58940,463576
27414,340658
7483,538263
59882,383703
57528,458103
28596,345149
62253,210457
4628,5064
6006,271490
28752,345751
46070,413217
34575,105996
67248,233405
58869,463299
26574,274690
35850,111031
18865,48118
34404,105349
26545,75179
9368,543831
55847,451620
1871,37988
36341,113052
8333,278742
2108,341719
58596,462197
11793,289012
50569,431116
11911,528821
26289,318193
40835,392793
39193,386474
72237,515219
23889,404059
4561,529137
29730,87409
8935,542658
1195,535858
36368,375304
56868,193373
14451,558839
3268,525236
49401,27374
1297,364126
42378,136672
7004,570060
4526,266910
43153,139530
23651,64190
44116,405469
57567,196074
14076,557732
42971,138861
24334,11129
45126,409468
67222,495445
8839,280215
9718,544913
2953,262148
32880,361592
39338,124873
32852,99341
49431,158466
41996,66238
58031,521602
56979,455948
28954,84397
17629,44353
28226,81620
63236,385861
50762,431854
6500,273079
38304,120792
3047,262404
4442,4489
37196,378652
65477,488750
59842,204906
25348,70642
55996,190013
33096,104091
65234,225682
3343,1176
31964,357971
66790,231645
46361,414373
46502,414923
17795,569196
24920,331083
55134,186711
40380,391046
70588,508605
8801,280084
53788,181481
32566,360409
31645,356734
8194,278352
9434,544059
17615,44312
442,115898
32734,497082
30557,352694
70338,444627
48303,159854
37147,543678
54684,447130
58181,499979
64045,221202
4959,6041
13052,554727
17088,487718
61678,474024
34741,106666
64275,484229
32051,358293
66386,492251
7533,14135
46984,416810
21757,581310
27094,339384
26190,335909
3258,263052
67964,498372
63149,217654
4807,267753
30131,89012
3050,262414
34455,105561
70967,510096
51791,435910
71362,511670
13702,297866
42940,400907
6249,534412
56920,455675
4815,267774
40337,128706
56886,455585
48740,26932
5854,533159
12269,552486
71067,248300
21991,319943
59147,464430
12224,290221
38863,122948
18246,570567
30098,351033
55377,449828
4784,267694
19559,574506
21527,318444
49690,165419
47144,155323
15679,562622
36423,375504
35036,542260
43951,404823
51073,433096
81,360661
51984,174504
15639,300368
70288,507460
44634,145351
7770,14873
68124,499068
6768,273889
65557,226936
5480,532007
12177,290080
6017,9408
31560,356384
57057,456245
44624,407441
35990,373686
26034,335325
57906,459543
25406,332990
8773,542163
65257,225769
70866,509682
18375,308744
1543,64898
64118,221513
47294,419212
38412,121222
44965,146757
57474,195750
12553,29045
12821,485564
60853,208817
31783,357228
68966,411583
2740,125257
23905,327255
23569,63900
35018,107753
36889,115345
10409,547080
59657,530543
2902,343937
38790,384834
28797,83778
12551,553330
44055,405222
57216,456895
59241,464789
50233,294410
21105,317049
56481,453918
56741,192824
27260,77954
42417,398941
62758,216059
48982,162578
69311,433454
2034,185890
29949,350435
42922,400829
58518,461860
59788,466840
50171,43829
57677,196458
21683,56739
64305,484338
13838,32777
72787,517313
33870,103267
12659,291498
48455,422583
19453,574178
51346,172088
66774,235479
66721,231395
51360,485829
64194,483948
24249,328569
68859,501926
50073,429113
43873,404517
25582,333629
72151,514875
30791,353593
58901,463429
9436,544065
3636,437262
10887,548546
50081,429158
29607,86913
54312,161635
10201,22135
66932,232227
72574,516516
6714,535871
30879,91759
61918,212864
30317,351855
72630,516733
62451,214937
23637,326284
19536,50158
35762,372804
71701,250893
66636,231079
68108,236865
1783,563349
35064,107963
12217,290196
65,278705
2551,441286
60628,470095
3551,263974
7342,275685
55406,449914
44443,144610
52165,437347
60284,468751
69503,242133
5763,270744
3819,2614
46874,154263
16971,566651
70417,245842
10007,283678
38934,544819
50905,432432
33603,364433
31733,94865
29231,85434
18482,309120
48531,160735
58309,461015
6473,535135
66340,229935
50458,430670
32764,99008
68240,237357
51066,170925
52589,438989
38620,121989
45271,410056
44800,408219
63258,480240
22317,490441
45834,412296
48456,422586
42639,137682
53711,443313
65818,490051
12418,552973
35412,109324
54915,555271
57479,195768
33971,103579
46320,152019
17578,306335
63261,342185
42033,135369
69156,502936
72383,515792
13193,555143
15652,300408
49485,164572
10939,24411
14639,35093
62545,215291
12824,291962
52458,422603
61956,475159
1981,482735
56509,206747
8466,279197
850,534827
3592,264128
66536,27723
33269,363102
51924,72737
68756,501527
7363,537905
44925,408746
4001,218980
573,292446
1941,328337
6574,11159
25579,333615
36566,376165
9714,20611
22228,58754
27373,340508
44321,179031
69071,240495
55499,188137
852,84270
27822,342204
53058,440813
13931,33055
37588,117979
56568,454273
68379,237841
29022,346795
43513,403109
55698,188862
4966,1011
2695,39480
60590,207805
67608,39137
8396,541108
54865,424165
59221,464719
28164,81379
23725,162083
61933,475055
12249,441598
60052,558570
7114,12817
10486,547300
16997,304570
30471,352389
53055,422992
48692,347596
30048,350840
21466,56091
7565,14244
14568,559145
25386,332916
66950,285963
25206,332261
51742,435716
58079,460183
39058,385863
72360,566547
59421,298139
23659,115616
29392,538640
65694,489617
62818,478430
30954,354144
53171,441228
72086,252443
57277,195002
2961,262171
28953,229765
38279,120655
23693,326510
20840,316189
69338,503689
12149,290010
22563,322177
28347,344231
61268,210249
52383,438186
15171,561028
61074,209544
7754,14835
44360,373569
35895,373325
7809,14966
54824,447681
50175,429580
793,477288
18129,570225
63605,481585
58689,200416
25955,72902
11613,288519
15266,561314
44726,24285
35113,108144
14332,558454
880,444142
47201,417700
41850,396853
10286,546664
