v_coco_id,coco_Id
False,412922
False,324139
False,15681
False,113212
False,90108
False,455210
False,333225
False,270524
False,515057
False,565043
False,347702
False,395491
False,116244
False,1442
False,101822
False,113252
False,344989
False,524563
False,285958
False,267300
False,199951
False,24636
False,442043
False,474405
False,509608
True,194663
False,424722
False,89207
False,161062
False,52871
False,312661
False,238245
False,159887
False,128992
False,264944
False,408965
False,366141
True,176335
False,147667
False,263913
False,211322
False,291319
False,351719
False,138659
False,98480
True,17489
True,399605
False,323746
False,388117
False,390646
False,92032
False,232906
False,85235
False,400621
False,440792
False,268114
False,268124
False,415818
False,570416
False,444515
False,92181
False,431890
False,291475
False,132997
False,497591
False,441751
False,16418
False,336637
False,149464
False,414196
False,134389
False,283495
False,309114
False,556597
False,551961
False,74583
False,326726
False,309386
False,71361
False,60710
True,175273
False,120176
False,374641
False,82936
False,150827
False,504167
False,543010
False,208376
False,206618
False,221949
False,487338
False,155306
False,226360
True,452985
False,136158
False,377878
False,453070
False,231071
False,45180
False,434623
False,356147
True,189684
False,309005
False,459084
False,52153
False,19637
False,309870
False,395432
False,128942
False,6266
False,389455
False,381406
False,343857
False,91875
False,433224
False,132193
False,10710
True,215982
False,178871
False,24730
False,507642
False,286430
False,176696
False,274514
False,340544
False,532009
False,114077
False,466196
False,365103
False,289344
False,337951
False,111142
False,205238
False,245660
False,157601
False,13934
False,248409
False,468722
False,80725
False,489802
False,568710
False,121954
False,189404
False,521509
False,101132
False,194054
False,139127
False,209868
False,557625
False,532276
False,77973
False,550555
False,72263
False,325874
False,130745
False,465683
False,447596
False,538822
False,574944
False,445427
False,183949
False,215353
False,533811
False,89908
False,396461
False,281148
False,335063
False,489145
False,213936
True,541123
False,214386
False,182162
False,234211
False,475580
False,106023
False,163858
False,487401
False,465285
False,400792
False,361265
False,77979
False,6016
False,388566
False,155839
False,408854
False,168803
False,372489
False,228042
False,389866
False,142735
False,249676
False,171315
False,412220
False,378765
False,427943
False,216715
False,423720
False,93098
False,14756
False,27293
False,467956
False,20207
False,403523
False,43522
False,156204
False,132393
False,39072
False,127622
False,135965
False,270278
False,149712
False,140577
False,85163
False,418054
False,53208
False,295282
False,324507
False,263042
False,173527
True,10678
False,548836
False,580813
False,476481
False,347885
False,531392
False,37779
False,59034
False,302823
False,115358
False,231852
False,332574
False,334752
False,140999
False,14869
False,93655
False,18171
False,105901
False,313228
False,203676
False,273250
False,46545
False,366839
False,471790
False,220241
False,30815
False,437947
False,269015
False,490801
False,157809
False,159626
False,41606
False,383721
False,325470
False,424712
False,524649
False,159567
False,528448
False,130528
False,131431
False,483275
False,317816
False,474049
False,420081
False,466599
False,417160
False,465605
False,160968
False,577808
False,391754
False,305634
False,497443
False,384531
False,488089
False,226872
False,372294
False,262862
False,315663
False,373317
False,571786
False,348235
False,512854
False,56233
False,306511
False,303873
False,567372
False,358825
False,5483
False,21926
False,75496
False,435807
False,476460
False,302666
False,84786
False,370513
False,220183
True,12552
False,246616
False,240618
False,225623
False,483272
False,283210
False,96679
False,149221
False,347509
False,245733
False,224303
False,172995
False,201184
False,186563
False,91366
False,283426
False,342296
True,163436
False,337479
False,548357
False,351554
False,283383
False,573571
False,499428
False,560158
False,330436
False,468825
False,419656
False,216628
False,550118
False,380182
False,337716
False,528046
False,87450
False,426451
False,425155
False,332351
False,385070
False,574665
False,366150
False,423337
False,432962
False,362240
False,267699
False,384346
False,516396
False,201550
False,182416
False,175256
False,536602
False,249536
False,50294
False,405196
False,137730
False,337233
False,283849
False,372029
False,461669
False,346587
False,447484
False,85744
False,177166
False,573337
False,553878
False,413865
False,572602
False,80391
False,514563
False,44160
False,419979
False,388812
False,86755
False,406839
False,373970
False,492550
False,152598
True,580972
False,138805
False,163903
False,148792
False,557780
False,255149
False,371829
True,565570
False,110250
False,251084
False,89930
False,8958
False,481909
False,238410
False,364010
False,252693
False,451707
False,427538
False,113975
False,417037
False,305622
False,292898
False,434148
False,24454
False,505062
False,195368
False,365344
False,175291
False,460408
False,441483
False,405226
False,27298
False,297182
False,189394
False,248637
False,63512
False,543385
False,350278
False,290231
False,28649
False,122776
False,563396
False,241025
False,371824
False,492627
False,511432
False,369442
False,534194
True,511127
False,243156
False,408696
False,512380
False,88999
False,139282
False,21138
False,137777
False,185210
False,428067
False,341245
False,148034
False,23779
False,41658
False,346392
True,205671
False,48252
False,411184
False,109357
False,371703
False,226148
False,427014
False,359563
False,207172
False,516697
False,396934
False,287310
False,305684
False,308780
False,278486
False,504280
False,274768
False,246056
False,449038
False,264244
False,129502
False,49014
False,419324
False,174386
False,498270
False,533743
False,78861
False,247764
False,133750
False,454144
False,172710
False,503834
False,108042
False,109281
False,294747
True,94558
False,240321
False,559816
False,409740
False,538643
True,573065
False,113590
False,552110
True,348734
False,89407
False,377245
False,151521
False,38582
False,401040
False,388136
False,266350
False,435164
False,528060
False,427615
False,383033
False,137954
False,80279
False,141873
False,456556
False,452341
True,581357
False,383018
False,8587
False,366802
False,240227
False,382309
False,119263
False,44022
False,273657
False,522713
False,60040
False,242709
False,536280
True,103722
False,96664
False,233121
False,102445
False,550405
False,143051
False,272610
False,439288
True,442084
False,534751
False,158053
False,161006
False,118612
False,372121
False,557886
False,308156
False,7420
False,399769
False,422669
False,395469
False,449043
False,392723
False,442668
False,82779
False,310560
False,515106
False,74390
False,535880
False,193454
False,449865
False,18389
False,351134
False,165589
False,494188
False,170388
False,270066
False,316194
False,549301
False,151432
False,220799
False,75227
False,61854
False,285825
False,357587
False,298372
False,137677
False,180366
False,501851
False,285645
False,61150
False,150442
False,532390
True,14103
False,336569
False,548253
False,139492
True,306426
False,57995
False,81054
False,71766
False,87871
False,500423
False,335093
False,147309
False,244078
False,515423
False,433874
True,291251
False,399558
False,28251
False,381759
False,273710
False,570598
False,423488
False,543411
False,8005
False,489909
False,194455
False,559225
False,496516
False,488789
False,420059
False,383706
False,431855
False,67347
False,115637
False,569272
False,564738
False,281056
False,9148
False,24457
False,393837
False,393292
False,447994
False,25423
False,396054
False,377576
False,565834
False,197067
True,273316
False,119460
